code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
15324,2016,A,,,,
16719,2016,A,3088,JP3869010003,315901515260,1.84049
17522,2016,A,,,,
17581,2016,A,SPB,MYL1783OO009,1718085000,0.68442
17605,2016,A,JOE,MYL7096OO000,83345184.789,0.80023
17627,2016,A,SYF,MYL7082OO000,342744640,1.22151
17768,2016,A,HIL,MYL8443OO003,268317717.21,0.83655
17790,2016,A,,,,
17899,2016,A,OSK,MYL5053OO003,1938699939.8,0.45081
17930,2016,A,TA,MYL4898OO002,770359500,0.32305
17948,2016,A,ASB,MYL1481OO000,73048121.642,0.18767
17994,2016,A,MAA,MYL1198OO000,242063430,0.43866
18032,2016,A,STAR,MYL6084OO007,1653022340.5,1.4646
18055,2016,A,LPI,MYL8621OO004,5437930680,4.83924
18056,2016,A,SAM,MYL9822OO007,551597580,1.25768
18208,2016,A,,,,
18388,2016,A,,,,
18434,2016,A,,,,
18464,2016,A,,,,
18492,2016,A,,,,
18493,2016,A,,,,
18609,2016,A,,,,
18633,2016,A,,NL0000077642,,
18685,2016,A,IEX,NL0010556726,13091695.2,9.66884
18771,2016,A,,,,
18810,2016,A,AIR,NL0000235190,48558271445,13.27817
18811,2016,A,ALX,NL0012194724,7914681.1,15.92425
18817,2016,A,,NL0000147098,,
18831,2016,A,PBH,NL0000336303,100532625,0.64036
18907,2016,A,EAT,GB00BHJVQ590,396660445.29,0.90931
18908,2016,A,HAL,BMG455841020,14121886025,1.85212
18944,2016,A,,NL0000152072,,
18988,2016,A,TEN,NZFLCE0020S7,162873605.16,1.18544
18991,2016,A,MCK,NZMCKE0004S9,261587282.64,0.57385
19014,2016,A,MET,NZMETE0001S2,1174418155.4,1.03659
19018,2016,A,AIR,NZAIRE0001S2,2352291507.9,1.11589
19173,2016,A,AFG,NO0003078107,14453749701,8.60342
19175,2016,A,AFG,NO0003078107,14453749701,8.60342
19245,2016,A,,,,
19246,2016,A,,,,
19247,2016,A,,,,
19300,2016,A,,,,
19311,2016,A,DNB,NO0010161896,209137773752,1.098
19314,2016,A,DNB,NO0010161896,209137773752,1.098
19322,2016,A,NRC,NO0003679102,2633992747.2,2.59763
19418,2016,A,ABG,NO0003021909,2278378906.7,2.60089
19523,2016,A,PTC,PK0067901022,64837320000,0.99355
19524,2016,A,,,,
19525,2016,A,PTC,PK0067901022,87618000000,0.99355
19563,2016,A,MCB,PK0055601014,265023751406,1.82209
19620,2016,A,,,,
19624,2016,A,,,,
19639,2016,A,,,,
19668,2016,A,,,,
19691,2016,A,,,,
19694,2016,A,,,,
19701,2016,A,,PEP7798U1157,,
19766,2016,A,,,,
19773,2016,A,,,,
19796,2016,A,ATI,PHY0367R1006,21120000000,1.79696
19799,2016,A,DHI,PHY0775G1005,8195781432.5,1.53206
19804,2016,A,LAND,PHY1640V1080,1298676054.2,0.71579
19808,2016,A,BCOR,PHY0860R1024,24745300874,3.37614
19824,2016,A,AC,PHY0486V1154,453073632000,2.02837
19825,2016,A,BC,PHY078321353,825649608.03,0.37512
19827,2016,A,BC,PHY078321353,1371590229.1,0.37512
19832,2016,A,AR,PHY0200M1028,317742669.44,0.18423
19834,2016,A,ACR,PHY0093E1002,7738545000,0.74555
19851,2016,A,LC,PH5267322015,6038632535.2,1.51973
19863,2016,A,EVER,PHY2362X1082,625000000,0.23982
19871,2016,A,FAF,PHY2495T1070,745904072,0.33187
19874,2016,A,PX,PHY689911352,42487426860,1.81574
19875,2016,A,GEO,PHY2699D1064,662371171.54,15.0289
19890,2016,A,MAC,PHY5369R1078,2972500186.5,0.83403
19891,2016,A,NI,PHY6350C1090,2858300000,3.04085
19903,2016,A,TFC,PHY7139G1068,1312500000,4.42022
19913,2016,A,ALCO,PHY0206K1008,2127238079.6,0.41895
19914,2016,A,V,PHY935661009,5249477832.5,0.66631
19921,2016,A,APO,PHY0136Q1288,3595103409.6,0.54468
19948,2016,A,HI,PHY3724Q1041,3418778432.7,0.34995
19956,2016,A,MA,PHY5764P1022,1713230491.7,0.95671
19958,2016,A,MA,PHY5764P1022,2854577492.9,0.95671
19980,2016,A,PRIM,PHY7084E1065,791337436.08,-7.90541
19991,2016,A,PTC,PHY6965Q1059,145000000000,6.36073
19995,2016,A,PPC,PHY7115M1274,10000000000,1.7355
20008,2016,A,ABG,PHY030541064,,23.14623
20010,2016,A,ABG,PHY030541064,3920000000,23.14623
20018,2016,A,,,,
20025,2016,A,MEG,PHY594811127,115094821763,0.91767
20036,2016,A,BKR,PHY096AT1065,2063439900,2.00237
20049,2016,A,MRC,PHY6145G1260,1098133007.8,1.81307
20052,2016,A,REG,PHY7243J1290,1787011955.8,1.10796
20057,2016,A,VMC,PHY936601350,12308361907,2.54321
20097,2016,A,,PLWILBO00019,14113950.84,-9.57517
20108,2016,A,,,,
20111,2016,A,AMC,PLAMICA00010,1449310887.2,2.136
20132,2016,A,BDX,PLBUDMX00013,5053682899.1,6.30625
20207,2016,A,,,,
20318,2016,A,SON,PTSON0AM0001,1748000000,0.93408
20344,2016,A,SEM,PTSEM0AM0004,1081161191.4,1.3228
20354,2016,A,SIBN,RU0009062467,1.009652E12,0.74231
20368,2016,A,PRIM,RU0009084487,951688440,0.79078
20435,2016,A,CTO,SG1EE1000009,66580746.565,0.51308
20449,2016,A,,,,
20488,2016,A,BAC,SG1BC8000002,18300000,1.72428
20654,2016,A,WPC,SGXE15078822,,
20760,2016,A,AGS,SG1AE9000009,521708791.2,1.18605
20791,2016,A,AWI,SG1AJ2000005,32715154,0.33912
20816,2016,A,,SK1120001062,,
20849,2016,A,MSM,ZAE000152617,26499643935,4.33844
20852,2016,A,,,,
20873,2016,A,AEL,ZAE000191342,1853831270.5,0.65115
20887,2016,A,CLH,ZAE000117792,6750618428.6,7.74311
20901,2016,A,RNG,ZAE000008819,179004156,1.12034
20908,2016,A,TPC,ZAE000007480,775056072.4,1.48207
20922,2016,A,SUI,ZAE000097580,8524003219.8,-3.22879
